driverStandingsId,raceId,driverId,points,position,wins,year
69092,1008,817,158.0,6,2,2018
69093,1008,4,50.0,10,0,2018
69094,1008,830,234.0,5,2,2018
69095,1008,807,69.0,7,0,2018
69096,1008,822,237.0,4,0,2018
69097,1008,838,12.0,16,0,2018
69098,1008,832,45.0,12,0,2018
69099,1008,815,58.0,8,0,2018
69100,1008,839,49.0,11,0,2018
69101,1008,844,33.0,14,0,2018
69102,1008,840,6.0,18,0,2018
69103,1008,843,4.0,19,0,2018
69104,1008,154,35.0,13,0,2018
69105,1008,825,55.0,9,0,2018
69106,1008,842,29.0,15,0,2018
69107,1008,828,9.0,17,0,2018
69108,1008,845,1.0,20,0,2018
69109,1009,20,320.0,2,5,2018
69110,1009,1,408.0,1,11,2018
69111,1009,8,251.0,3,1,2018
69112,1009,817,170.0,6,2,2018
69113,1009,4,50.0,11,0,2018
69114,1009,830,249.0,4,2,2018
69115,1009,807,69.0,7,0,2018
69116,1009,822,247.0,5,0,2018
69117,1009,838,12.0,16,0,2018
69118,1009,832,53.0,10,0,2018
69119,1009,815,62.0,8,0,2018
69120,1009,839,49.0,12,0,2018
69121,1009,844,39.0,13,0,2018
69122,1009,840,6.0,18,0,2018
69123,1009,843,4.0,19,0,2018
69124,1009,154,37.0,14,0,2018
69125,1009,825,56.0,9,0,2018
69126,1009,842,29.0,15,0,2018
69127,1009,828,9.0,17,0,2018
69128,1009,845,1.0,20,0,2018
69768,1010,832,0.0,20,0,2019
69767,1010,817,0.0,19,0,2019
69766,1010,154,0.0,18,0,2019
69765,1010,9,0.0,17,0,2019
69764,1010,847,0.0,16,0,2019
69763,1010,841,0.0,15,0,2019
69762,1010,848,0.0,14,0,2019
69761,1010,815,0.0,13,0,2019
69760,1010,846,0.0,12,0,2019
69750,1010,1,18.0,2,0,2019
69230,1012,1,68.0,1,2,2019
69759,1010,842,0.0,11,0,2019
69758,1010,826,1.0,10,0,2019
69757,1010,840,2.0,9,0,2019
69756,1010,8,4.0,8,0,2019
69755,1010,807,6.0,7,0,2019
69754,1010,825,8.0,6,0,2019
69753,1010,844,10.0,5,0,2019
69752,1010,20,12.0,4,0,2019
69751,1010,830,15.0,3,0,2019
69749,1010,822,26.0,1,1,2019
69229,1012,822,62.0,2,1,2019
69227,1011,817,0.0,18,0,2019
69226,1011,154,0.0,19,0,2019
69224,1011,847,0.0,16,0,2019
69222,1011,848,2.0,11,0,2019
69219,1011,842,4.0,10,0,2019
69216,1011,8,10.0,6,0,2019
69211,1011,830,27.0,3,0,2019
69228,1011,832,0.0,20,0,2019
69223,1011,841,0.0,15,0,2019
69218,1011,826,1.0,13,0,2019
69225,1011,9,0.0,17,0,2019
69220,1011,846,8.0,7,0,2019
69215,1011,807,6.0,9,0,2019
69221,1011,815,1.0,14,0,2019
69217,1011,840,2.0,12,0,2019
69214,1011,825,8.0,8,0,2019
69213,1011,844,26.0,4,0,2019
69212,1011,20,22.0,5,0,2019
69210,1011,1,43.0,2,1,2019
69209,1011,822,44.0,1,1,2019
69231,1012,830,39.0,3,0,2019
69232,1012,20,37.0,4,0,2019
69233,1012,844,36.0,5,0,2019
69234,1012,825,8.0,9,0,2019
69235,1012,807,6.0,10,0,2019
69236,1012,8,12.0,7,0,2019
69237,1012,840,2.0,14,0,2019
69238,1012,826,1.0,15,0,2019
69239,1012,842,13.0,6,0,2019
69240,1012,846,8.0,8,0,2019
69241,1012,815,5.0,12,0,2019
69242,1012,848,3.0,13,0,2019
69243,1012,841,0.0,16,0,2019
69244,1012,847,0.0,19,0,2019
69245,1012,9,0.0,20,0,2019
69246,1012,154,0.0,17,0,2019
69247,1012,817,6.0,11,0,2019
69248,1012,832,0.0,18,0,2019
69249,1013,822,87.0,1,2,2019
69250,1013,1,86.0,2,2,2019
69251,1013,830,51.0,4,0,2019
69252,1013,20,52.0,3,0,2019
69253,1013,844,47.0,5,0,2019
69254,1013,825,8.0,10,0,2019
69255,1013,807,6.0,11,0,2019
69256,1013,8,13.0,8,0,2019
69257,1013,840,4.0,14,0,2019
69258,1013,826,1.0,16,0,2019
69259,1013,842,13.0,7,0,2019
69260,1013,846,12.0,9,0,2019
69261,1013,815,13.0,6,0,2019
69262,1013,848,3.0,15,0,2019
69263,1013,841,0.0,17,0,2019
69264,1013,847,0.0,19,0,2019
69265,1013,9,0.0,20,0,2019
69266,1013,154,0.0,18,0,2019
69267,1013,817,6.0,13,0,2019
69268,1013,832,6.0,12,0,2019
69308,1014,832,10.0,11,0,2019
69307,1014,817,6.0,12,0,2019
69306,1014,154,1.0,17,0,2019
69305,1014,9,0.0,20,0,2019
69303,1014,841,0.0,18,0,2019
69302,1014,848,3.0,15,0,2019
69299,1014,842,21.0,6,0,2019
69297,1014,840,4.0,14,0,2019
69296,1014,8,13.0,9,0,2019
69293,1014,844,57.0,5,0,2019
69291,1014,830,66.0,3,0,2019
69290,1014,1,112.0,1,3,2019
69301,1014,815,13.0,8,0,2019
69298,1014,826,3.0,16,0,2019
69300,1014,846,12.0,10,0,2019
69289,1014,822,105.0,2,2,2019
69304,1014,847,0.0,19,0,2019
69292,1014,20,64.0,4,0,2019
69295,1014,807,6.0,13,0,2019
69294,1014,825,14.0,7,0,2019
69309,1015,822,120.0,2,2,2019
69310,1015,1,137.0,1,4,2019
69311,1015,830,78.0,4,0,2019
69312,1015,20,82.0,3,0,2019
69313,1015,844,57.0,5,0,2019
69314,1015,825,14.0,8,0,2019
69315,1015,807,6.0,15,0,2019
69316,1015,8,13.0,10,0,2019
69317,1015,840,4.0,16,0,2019
69318,1015,826,9.0,12,0,2019
69319,1015,842,32.0,6,0,2019
69320,1015,846,12.0,11,0,2019
69321,1015,815,13.0,9,0,2019
69322,1015,848,7.0,14,0,2019
69323,1015,841,0.0,18,0,2019
69324,1015,847,0.0,19,0,2019
69325,1015,9,0.0,20,0,2019
69326,1015,154,2.0,17,0,2019
69327,1015,817,8.0,13,0,2019
69328,1015,832,18.0,7,0,2019
69329,1016,822,133.0,2,2,2019
69330,1016,1,162.0,1,5,2019
69331,1016,830,88.0,4,0,2019
